Tên SP	Nhà sản xuất	Model	Kết nối	Kích thước	Loại switch	Giá(đ)
Bàn Phím Cơ Gaming không dây Asus ROG Strix Scope II 96 Wireless NXSW/US/ABS 90MP037A-BKUA00						3,899,000
Bàn phím Gaming ASUS ROG STRIX SCOPE II NX USB/Snow SW/ABS/ĐEN _ 90MP036A-BKUA00						2,699,000
Bàn phím Gaming ASUS ROG AZOTH/NXSW/US/PBT/WHT/Trắng _ 90MP031A-BKUA11			USB 2.0 (TypeC sang TypeA)	326 x 136 x 40 mm		6,099,000
Bàn phím Gaming Asus ROG Azoth NX SM Black _ 90MP031B-BKUA01	Asus	"90MP031B-BKUA01 (NX Snow Switch)
90MP031A-BKUA01 (NX Storm Switch)"	"USB 2.0 (TypeC to TypeA)
Bluetooth 5.1
RF 2.4GHz"	326 x 136 x 40 mm	Đang cập nhật	5,999,000
Bàn phím Gaming ASUS ROG AZOTH NX RED/WL/PBT/OLED-SCR/Trắng _ 90MP0316-BKUA11			USB 2.0 (TypeC sang TypeA)	326 x 136 x 40 mm		5,999,000
Bàn phím cơ Asus ROG Falchion Blue switch 90MP01Y2-BKUA00	Asus	ROG Falchion	"USB có dây 
Wireless 2.4GHz"	305x101x38.5 mm	Blue	1,599,000
Bàn phím Gaming Asus ROG Strix Scope II NX SM _ 90MP036B-BKUA00	Asus	"90MP036A-BKUA00 (Snow Switch)
90MP036B-BKUA00 (Storm Switch)"	USB 2.0 (Type-C to Type-A)	436 x 129 x 37mm	Đang cập nhật	3,199,000
Bàn phím game Asus TUF K1 (USB)	Asus			Fullsize	Tactile TUF switch	849,000
Kit bàn phím cơ FLEsport Q75 Crystal Grey (Case, Plate, PCB, LED)						1,249,000
Bàn phím Lecoo KB101 đen (USB)	Lenovo					129,000
Bàn phím cơ gaming có dây Newmen GM328, Purple-White, Blue Switch	Newmen	GM328				529,000
Bàn phím cơ gaming có dây Rapoo V500 Pro Black (Black switch)	Rapoo		Có dây	434mm x 131.1mm x 36.5mm	Blue/Red/Brown/Black	629,000
Bàn phím AKKO 3108s RGB pro - Pink (Cherry Red switch _ Cũ đẹp 99%)			USB	442 x 140 x 40mm	Cherry Switch	1,429,000
Bàn phím AKKO 3108s RGB pro - Pink (Cherry Blue switch _ Cũ đẹp 99%)			USB	442 x 140 x 40mm	Cherry Switch	1,429,000
Bàn phím AKKO 3098 DS Matcha Red Bean (Akko Blue switch _ Cũ đẹp 99%)	Akko	3098 DS Matcha Red Bean	Có dây	382 x 134 x 40 (mm)	Akko Switch v2	1,399,000
Bàn phím AKKO 3098 DS Matcha Red Bean (Gateron Cap Yellow switch _ Cũ đẹp 99%)	Akko	3098 DS Matcha Red Bean	Có dây	382 x 134 x 40 (mm)	Akko Switch v2	1,399,000
Bàn phím cơ Logitech G512 Lightsync RGB Linear (USB/GX Red)	Logitech	G512 GX		132 x 445 x 35,5 mm	GX Brown (Tactile)/ GX Red (Linear)	1,949,000
Bàn phím AKKO 3087 DS Midnight (Cherry Blue switch _ Cũ đẹp 99%)	Akko	AKKO 3087 DS Midnight R2 (Akko sw v2)	USB Type-C, có thể tháo rời	360 x 140 x 40mm	Akko switch (Blue/Orange/Pink) v2	1,299,000
Bàn phím AKKO 3096 DS Midnight (Cherry Blue switch _ Cũ đẹp 99%)	Akko	AKKO 3096 Midnight (Akko sw)	USB Type C, có thể tháo rời	380 x 132 x 42mm	Akko switch (Blue/Orange/Pink)	1,299,000
Bàn phím Corsair K100 RGB Speed switch (CH-912A014-NA)	Corsair				CHERRY MX Speed	4,999,000
Bàn phím Corsair K100 RGB Optical switch (OPX-RF) (CH-912A01A-NA)	Corsair				Corsair OPX	4,999,000
Bàn Phím Cơ Machenike K500-B61 Wireless White Grey Red Switch Led RGB (Có dây/2.4G Wireless/Bluetooth 5.0)						1,099,000
Bàn phím cơ AULA F99 Đen trắng hồng (3 mode TypeC + 2.4G + Bluetooth, Grey wood v3 switch, led RGB)	AULA			(LxWxH): 390,63 x 146,78 x 42,57 mm	Agile switch	1,689,000
Bàn phím cơ AKKO 3087 RF One Piece - Luffy (AKKO switch v3 - Cream Yellow)	Akko		USB Type-C to Type-A (dây có thể tháo rời) hoặc không dây 2.4Ghz (sử dụng pin AAA)	360 x 140 x 40mm		1,599,000
